CALLERTYPE,DATECANCELLED,DATEINVTDONE,DATETIMECLOSED,DATETIMEINIT,DESCRIPTION,NEIGHBORHOOD,PRJCOMPLETEDATE,PROBADDRESS,PROBADDTYPE,PROBCITY,PROBLEMCODE,PROBZIP,REQUESTID,SRX,SRY,STATUS,SUBMITTO,WARD
PHONE,NA,2018-01-05 15:37:38.0,2018-01-05 15:37:49.997,2018-01-02 15:26:52.867,WTR-COMING-UP,19,2018-01-15 00:00:00.0,ARKANSAS AVE & CHIPPEWA ST,B,NA,WTR-COMING-UP,NA,1049550,893692.241,1003090.295,CLOSED,"WATER DIV,",25
PHONE,NA,2018-01-05 15:48:59.67,2018-01-05 15:48:59.67,2018-01-02 15:27:31.757,Snow/Ice - Residnl,19,2018-01-08 00:00:00.0,ARKANSAS AVE & CHIPPEWA ST,B,NA,Snow/Ice - Residnl,NA,1049551,893692.241,1003090.295,CLOSED,"STREET DIVISION, 514",25
WEB,NA,2018-01-03 08:18:52.0,2018-05-07 10:53:27.547,2018-01-02 15:32:05.0,Debris-Vacant Bldg,54,2018-01-22 00:00:00.0,4623 NEWBERRY TER,A,NA,Debris-Vacant Bldg,NA,1049552,890602.578,1027844.764,CLOSED,"FORESTRY,",4
WEB,NA,2018-03-07 08:01:18.333,2018-03-07 08:01:18.333,2018-01-02 15:32:33.0,Special Event Consolidated Application,NA,2018-03-27 00:00:00.0,S 8th St @ Hickory St,B,NA,SpecialEventApp,NA,1049553,1,1,CLOSED,"OFC OF SPCL EVENTS,",7
WEB,NA,2018-01-24 13:13:08.907,2018-01-24 13:13:08.907,2018-01-02 15:35:33.0,Impropr resdnt displ,27,2018-01-16 00:00:00.0,3624 CLEVELAND AVE,A,NA,Impropr resdnt displ,NA,1049554,894023.829,1011172.567,CLOSED,"TRASH TASK FRC,",8
WEB,NA,2018-01-04 08:56:03.0,2018-01-04 08:56:06.17,2018-01-02 15:39:52.0,Refuse not collected,15,2018-01-05 00:00:00.0,3912 OLEATHA AVE,A,NA,Refuse not collected,NA,1049555,891023.738,1005014.371,CLOSED,"REFUSE,",15
NA,2018-01-02 15:52:58.803,NA,NA,2018-01-02 15:40:47.0,Ppty Maint Code-Ext,NA,2018-01-22 00:00:00.0,3305 WISCONSIN AV,A,NA,Ppty Maint Code-Ext,NA,1049556,899974.05282824,1005355.28686936,CANCEL,"BUILDING DIV,",NA
PHONE,NA,2018-01-04 07:35:43.0,2018-01-04 07:41:11.237,2018-01-02 15:46:41.8,Single street light out,18,2018-01-05 00:00:00.0,3723 S BROADWAY,B,NA,Single Light Out,NA,1049557,898585.742,1002837.702,CLOSED,"TRAFFIC DIVISION, 511",20
PHONE,NA,2018-01-04 08:46:39.0,2018-01-04 08:46:39.717,2018-01-02 15:50:58.91,Light Damaged,74,2018-01-09 00:00:00.0,NEWBY ST & HALLS FERRY RD,B,NA,Light Damaged,NA,1049558,895603.284,1049936.435,CLOSED,"TRAFFIC DIVISION, 511",2
PHONE,NA,NA,NA,2018-01-02 15:53:47.803,Stray Cat,48,2018-01-11 00:00:00.0,5882 PAGE BLVD,B,NA,Stray Cat,NA,1049559,881337.601,1032124.296,Disptch,"TNR,",22
PHONE,NA,2018-02-26 12:51:00.0,2018-03-26 12:53:35.517,2018-01-02 15:56:37.057,Leash Law,16,2018-01-22 00:00:00.0,3721 NEOSHO ST,B,NA,Leash Law,NA,1049560,891406.059,999151.414,CLOSED,"ANIMAL CARE,",25
PHONE,NA,2018-09-05 13:45:42.217,2018-09-05 13:45:42.217,2018-01-02 15:58:07.993,Misc-Excise,65,2018-01-22 00:00:00.0,4201 N 20TH ST,B,NA,Misc-Excise,NA,1049561,904160.51,1031376.659,CLOSED,"EXCISE,",3
PHONE,NA,NA,NA,2018-01-02 15:59:19.527,Misc-License Coll,65,2018-01-22 00:00:00.0,4201 N 20TH ST,B,NA,Misc-License Coll,NA,1049562,904160.51,1031376.659,NEW,"LICENSE COLL,",3
WEB,NA,2018-01-05 16:05:46.0,2018-01-05 16:06:03.567,2018-01-02 16:00:16.0,PRESSURE (low water pressure in bldg),9,2018-01-15 00:00:00.0,6060 THOLOZAN AVE,A,NA,PRESSURE,NA,1049563,878716.486,1005872.125,CLOSED,"WATER DIV,",23
PHONE,NA,2018-01-02 16:00:20.057,2018-01-02 16:00:19.48,2018-01-02 16:00:19.48,Public Nuisance Rpt,65,NA,4201 N 20TH ST,B,NA,Public Nuisance Rpt,NA,1049564,904160.51,1031376.659,CLOSED,"NST,",3
PHONE,NA,NA,NA,2018-01-02 16:01:17.417,"Raw Garbage, Ext",74,2018-01-22 00:00:00.0,8640 RIVERVIEW BLVD,B,NA,"Raw Garbage, Ext",NA,1049565,894103.931,1049492.248,Disptch,"VECTOR CNTRL,",27
PHONE,NA,2018-01-21 16:45:00.0,2018-03-23 16:48:43.183,2018-01-02 16:01:37.98,Check Welfare,9,2018-01-22 00:00:00.0,3271 IVANHOE AVE,B,NA,Check Welfare,NA,1049566,876125.123,1008767.214,CLOSED,"ANIMAL CARE,",23
PHONE,NA,2018-01-12 14:24:01.0,2018-01-12 14:25:41.107,2018-01-02 16:02:01.777,Illegl Use-Opn Storg,74,2018-01-22 00:00:00.0,8640 RIVERVIEW BLVD,B,NA,Illegl Use-Opn Storg,NA,1049567,894103.931,1049492.248,CLOSED,"BUILDING DIV,",27
PHONE,NA,NA,NA,2018-01-02 16:03:02.31,Stray Animal Cntnd,68,2018-01-22 00:00:00.0,4267 FAIR AVE,B,NA,Stray Animal Cntnd,NA,1049568,899001.533,1034273.564,Disptch,"ANIMAL CARE,",21
PHONE,NA,2018-01-04 14:01:30.493,2018-01-04 14:01:30.493,2018-01-02 16:05:19.093,Cntnr overflow/bulky,19,2018-01-05 00:00:00.0,3626 ARKANSAS AVE,B,NA,Cntnr overflow/bulky,NA,1049569,893946.549,1004108.341,CLOSED,"REFUSE,",20
PHONE,NA,2018-01-03 09:59:58.88,2018-01-03 09:59:58.88,2018-01-02 16:15:00.737,Cntnr overflow/bulky,32,2018-01-05 00:00:00.0,1600 MISSISSIPPI AVE,B,NA,Cntnr overflow/bulky,NA,1049570,901938.408,1012872.563,CLOSED,"REFUSE,",7
WEB,NA,2018-01-04 13:20:15.0,2018-01-04 13:20:15.697,2018-01-02 16:21:50.0,Blocking Application,38,2018-02-13 00:00:00.0,26 MARYLAND PLZ,A,NA,PmtApp_Blocking,NA,1049571,888055.932,1023728.691,CLOSED,"STREET PERMITS,",28
PHONE,NA,2018-01-09 13:13:55.697,2018-01-09 13:13:55.697,2018-01-02 16:22:08.547,Not enough cntnrs,68,2018-01-09 00:00:00.0,4235 ATHLONE AVE,B,NA,Not enough cntnrs,NA,1049572,897653.783,1034633.131,CLOSED,"REFUSE,",21
PHONE,NA,2018-01-06 10:22:41.563,2018-01-06 10:22:41.563,2018-01-02 16:24:06.703,Cntnr overflow/bulky,69,2018-01-05 00:00:00.0,4627 SHIRLEY PL,B,NA,Cntnr overflow/bulky,NA,1049573,896280.54,1036970.288,CLOSED,"REFUSE,",21
PHONE,NA,2018-01-06 09:05:20.66,2018-01-06 09:05:20.66,2018-01-02 16:25:30.19,Foreman cntct citizn,59,2018-01-05 00:00:00.0,2732 JAMES COOL PAPA BELL AVE,B,NA,Foreman cntct citizn,NA,1049574,901501.315,1023000.839,CLOSED,"REFUSE,",3
PHONE,NA,2018-01-03 15:58:29.46,2018-01-03 15:58:29.46,2018-01-02 16:25:35.907,Single street light out,31,2018-01-05 00:00:00.0,S GRAND AVE & LAFAYETTE AVE,B,NA,Single Light Out,NA,1049575,894687.146,1013628.679,CLOSED,"TRAFFIC DIVISION, 511",19
PHONE,NA,2018-01-11 11:47:02.0,2018-01-11 11:49:14.51,2018-01-02 16:26:28.923,Vacnt Bldg Unsecured,56,2018-01-22 00:00:00.0,3006 VINE GROVE AVE,B,NA,Vacnt Bldg Unsecured,NA,1049576,894913.997,1030999.904,CLOSED,"BUILDING DIV,",4
PHONE,NA,2018-02-21 16:32:00.0,2018-03-27 16:34:56.547,2018-01-02 16:27:34.36,Leash Law,76,2018-01-22 00:00:00.0,5921 THEODORE AVE,B,NA,Leash Law,NA,1049577,889933.757,1044708.892,CLOSED,"ANIMAL CARE,",27
PHONE,NA,2018-01-05 15:50:05.84,2018-01-05 15:50:05.84,2018-01-02 16:29:00.173,Snow/Ice - Major St,9,2018-01-03 00:00:00.0,WATSON RD & OLEATHA AVE,B,NA,Snow/Ice - Major St,NA,1049578,877260.013,1006781.625,CLOSED,"STREET DIVISION, 514",23
PHONE,NA,2018-01-03 10:00:49.55,2018-01-03 10:00:49.55,2018-01-02 16:35:00.38,Cntnr overflow/bulky,46,2018-01-05 00:00:00.0,6248 WASHINGTON AVE,B,NA,Cntnr overflow/bulky,NA,1049579,876816.512,1027216.684,CLOSED,"REFUSE,",28
PHONE,NA,2018-01-03 09:45:03.0,2018-01-03 09:45:03.027,2018-01-02 16:36:45.927,Not enough cntnrs,46,2018-01-09 00:00:00.0,6248 WASHINGTON AVE,B,NA,Not enough cntnrs,NA,1049580,876816.512,1027216.684,CLOSED,"REFUSE,",28
CSB VCML,NA,2018-02-08 09:54:00.0,2018-03-26 09:59:21.82,2018-01-02 16:42:33.647,Check Welfare,15,2018-01-22 00:00:00.0,4026 HUMPHREY ST,B,NA,Check Welfare,NA,1049581,890459.546,1007006.845,CLOSED,"ANIMAL CARE,",15
PHONE,NA,2018-01-05 15:39:02.0,2018-01-05 15:39:47.093,2018-01-02 16:42:47.43,WTR-COMING-UP,9,2018-01-15 00:00:00.0,CHIPPEWA ST & IVANHOE AVE,B,NA,WTR-COMING-UP,NA,1049582,875687.948,1003920.51,CLOSED,"WATER DIV,",16
PHONE,NA,2018-01-03 09:48:46.533,2018-01-03 09:48:46.53,2018-01-02 16:43:30.867,Not enough cntnrs,39,2018-01-09 00:00:00.0,4251 CHOUTEAU AVE,B,NA,Not enough cntnrs,NA,1049583,890604.093,1018073.867,CLOSED,"REFUSE,",17
PHONE,NA,2018-01-05 15:49:34.053,2018-01-05 15:49:34.053,2018-01-02 16:44:44.697,Snow/Ice - Residnl,9,2018-01-08 00:00:00.0,CHIPPEWA ST & IVANHOE AVE,B,NA,Snow/Ice - Residnl,NA,1049584,875687.948,1003920.51,CLOSED,"STREET DIVISION, 514",16
WEB,NA,2018-01-03 11:22:35.463,2018-01-03 11:22:35.463,2018-01-02 16:45:17.0,Cntnr overflow/bulky,42,2018-01-08 00:00:00.0,1512 TAMM AVE,B,NA,Cntnr overflow/bulky,NA,1049585,879193.094,1015818.575,CLOSED,"REFUSE,",24
CSB VCML,NA,2018-01-04 16:07:00.0,2018-04-02 16:10:19.2,2018-01-02 16:45:24.54,Check Welfare,63,2018-01-22 00:00:00.0,1422 MONTGOMERY ST,B,NA,Check Welfare,NA,1049586,906468.515,1025605.928,CLOSED,"ANIMAL CARE,",5
WEB,NA,2018-01-03 11:21:39.887,2018-01-03 11:21:39.887,2018-01-02 16:48:20.0,Recycling not collec,44,2018-01-08 00:00:00.0,6602 VILLA AVE,A,NA,Recycling not collec,NA,1049587,877635.173,1016582.373,CLOSED,"REFUSE,",24
CSB VCML,NA,2018-01-10 16:37:00.0,2018-03-23 16:44:26.21,2018-01-02 16:48:42.387,Check Welfare,6,2018-01-22 00:00:00.0,5028 MILENTZ AVE,B,NA,Check Welfare,NA,1049588,882156.966,999581.706,CLOSED,"ANIMAL CARE,",13
PHONE,NA,2018-01-04 10:05:20.0,2018-01-04 10:05:54.373,2018-01-02 16:48:57.387,Incorrect Bill,48,2018-01-11 00:00:00.0,6040 MAPLE AVE,B,NA,Incorrect Bill,NA,1049589,879148.738,1029766.193,CLOSED,"REFUSE,",26
PHONE,NA,2018-01-04 04:00:00.0,2018-01-04 04:35:47.18,2018-01-02 16:50:05.077,Single street light out,59,2018-01-05 00:00:00.0,3853 COTTAGE AVE,B,NA,Single Light Out,NA,1049590,897890.761,1027505.6,CLOSED,"TRAFFIC DIVISION, 511",4
CSB VCML,NA,2018-01-30 16:10:00.0,2018-03-23 16:12:28.073,2018-01-02 16:50:46.873,Check Welfare,16,2018-01-22 00:00:00.0,3723 ALBERTA ST,B,NA,Check Welfare,NA,1049591,892057.961,1002292.18,CLOSED,"ANIMAL CARE,",25
WEB,NA,2018-01-04 15:54:00.0,2018-02-14 16:39:23.223,2018-01-02 16:53:12.0,Debris-Occupied Bldg,10,2018-01-23 00:00:00.0,6750 ODELL ST,A,NA,Debris-Occupied Bldg,NA,1049592,875974.095,1011072.89,CLOSED,"FORESTRY,",24
PHONE,NA,2018-01-03 08:45:00.0,2018-01-04 17:15:11.237,2018-01-02 16:53:31.063,Sign needs attention,5,2018-02-13 00:00:00.0,MORGAN FORD RD & BATES ST,B,NA,Sign needs attention,NA,1049593,886214.063,998772.305,CLOSED,"TRAFFIC DIVISION, 511",13
PHONE,NA,2018-01-03 09:50:35.177,2018-01-03 09:50:35.177,2018-01-02 16:56:04.097,Refuse not collected,45,2018-01-05 00:00:00.0,205 S SKINKER BLVD,B,NA,Refuse not collected,NA,1049594,876599.592,1023099.154,CLOSED,"REFUSE,",28
PHONE,NA,2018-01-05 16:04:12.0,2018-01-05 16:04:51.143,2018-01-02 16:56:46.957,WTR-COMING-UP,78,2018-01-15 00:00:00.0,1422 SEMPLE AVE,B,NA,WTR-COMING-UP,NA,1049595,885116.776,1031326.581,CLOSED,"WATER DIV,",26
EMAIL,NA,2018-01-02 17:10:22.0,2018-01-11 10:08:52.243,2018-01-02 17:10:06.93,Sunshine Request,NA,2018-10-08 00:00:00.0,NA,B,NA,Sunshine Request,NA,1049596,NA,NA,CLOSED,"Sunshine Law Coordinator,",NA
EMAIL,NA,2018-01-02 17:26:45.0,2018-01-11 09:50:42.78,2018-01-02 17:26:28.057,Sunshine Request,NA,2018-10-08 00:00:00.0,708 N. 2nd St.,B,St. Louis,Sunshine Request,NA,1049597,NA,NA,CLOSED,"Sunshine Law Coordinator,",NA
PHONE,NA,2018-01-03 01:15:00.0,2018-01-03 01:21:36.787,2018-01-02 17:32:40.497,Whole block lights out,18,2018-01-04 00:00:00.0,3500 WISCONSIN AVE,B,NA,Whole Blk Lights Out,NA,1049598,899890.746,1004122.09,CLOSED,"TRAFFIC DIVISION, 511",9
NA,2018-01-03 09:03:57.977,NA,NA,2018-01-02 17:33:45.0,Refuse not collected,NA,2018-01-05 00:00:00.0,35 PORTLAND PL,A,NA,Refuse not collected,NA,1049599,885711.06403859,1024814.35928748,CANCEL,"REFUSE,",NA
WEB,NA,2018-01-04 15:39:02.43,2018-01-04 15:39:02.43,2018-01-02 17:33:53.0,Snow/Ice - Residnl,NA,2018-01-09 00:00:00.0,4623 W PRIMM ST,A,NA,Snow/Ice - Residnl,NA,1049600,881116.943,993564.093,CLOSED,"STREET DIVISION, 514",12
WEB,NA,2018-01-22 15:40:48.0,2018-01-22 15:41:08.937,2018-01-02 17:35:50.0,Const No Permit-Ext,71,2018-01-23 00:00:00.0,5004 DURANT AVE,A,NA,Const No Permit-Ext,NA,1049601,892837.831,1039473.813,CLOSED,"BUILDING DIV,",1
WEB,NA,2018-01-04 12:42:25.0,2018-01-04 12:45:06.237,2018-01-02 17:36:54.0,Cntnr blocking,9,2018-01-08 00:00:00.0,6212 THOLOZAN AVE,A,NA,Cntnr blocking,NA,1049602,878525.755,1005897.792,CLOSED,"REFUSE,",23
WEB,NA,2018-01-08 13:40:52.0,2018-01-08 13:40:55.957,2018-01-02 17:44:21.0,Cntnr turned,7,2018-01-10 00:00:00.0,5745 BANCROFT AVE,A,NA,Cntnr turned,NA,1049603,879918.076,1004282.308,CLOSED,"REFUSE,",16
WEB,NA,2018-01-03 09:49:42.0,2018-01-03 09:49:42.547,2018-01-02 17:57:27.0,Whole block lights out,14,2018-01-04 00:00:00.0,5546 LINDENWOOD AVE,A,NA,Whole Blk Lights Out,NA,1049604,880944.144,1004971.236,CLOSED,"TRAFFIC DIVISION, 511",23
WEB,NA,2018-01-03 09:49:42.0,2018-01-03 09:49:42.547,2018-01-02 17:57:27.0,Whole block lights out,14,2018-01-04 00:00:00.0,5546 LINDENWOOD AVE,A,NA,Whole Blk Lights Out,NA,1049604,880944.144,1004971.236,CLOSED,"TRAFFIC DIVISION, 511",23
PHONE,NA,2018-01-03 04:30:00.0,2018-01-03 06:42:17.46,2018-01-02 18:09:17.907,Whole block lights out,31,2018-01-04 00:00:00.0,2800 RUTGER ST,B,NA,Whole Blk Lights Out,NA,1049605,898970.768,1014979.965,CLOSED,"TRAFFIC DIVISION, 511",6
PHONE,NA,2018-01-03 04:30:00.0,2018-01-03 06:41:56.787,2018-01-02 18:10:45.423,Whole block lights out,31,2018-01-04 00:00:00.0,1300 S EWING AVE,B,NA,Whole Blk Lights Out,NA,1049606,898581.969,1015090.543,CLOSED,"TRAFFIC DIVISION, 511",6
WEB,NA,2018-01-05 15:46:50.0,2018-01-05 15:47:08.723,2018-01-02 18:26:14.0,WTR-COMING-UP,4,2018-01-16 00:00:00.0,EUGENE AVE & ROBERT AVE,B,NA,WTR-COMING-UP,NA,1049607,886653.751,991736.658,CLOSED,"WATER DIV,",12
WEB,2018-09-08 15:06:48.0,NA,NA,2018-01-02 18:27:53.0,Blocking Application,12,2018-02-13 00:00:00.0,5201 SHAW AVE,A,NA,PmtApp_Blocking,NA,1049608,885162.387,1013980.086,CANCEL,"STREET PERMITS,",10
WEB,NA,2018-01-04 09:41:32.73,2018-01-04 09:41:32.73,2018-01-02 18:41:04.0,Cntnr overflow/bulky,8,2018-01-08 00:00:00.0,5831 WALSH ST,A,NA,Cntnr overflow/bulky,NA,1049609,879026.33,1001450.479,CLOSED,"REFUSE,",16
PHONE,NA,2018-01-04 08:17:07.157,2018-01-04 08:17:07.157,2018-01-02 19:04:31.107,Whole block lights out,38,2018-01-04 00:00:00.0,N EUCLID AVE & WASHINGTON AVE,B,NA,Whole Blk Lights Out,NA,1049610,888552.546,1025696.394,CLOSED,"TRAFFIC DIVISION, 511",18
WEB,NA,2018-01-05 15:46:09.0,2018-01-05 15:46:35.303,2018-01-02 19:06:18.0,WTR-COMING-UP,4,2018-01-16 00:00:00.0,3801 W UPTON ST,A,NA,WTR-COMING-UP,NA,1049611,885773.042,992086.12,CLOSED,"WATER DIV,",12
WEB,NA,2018-01-03 12:58:27.0,2018-01-12 15:37:10.527,2018-01-02 19:14:24.0,Vehicle Towing,NA,2018-01-09 00:00:00.0,Utah St @ Missouri Ave,B,NA,Vehicle Towing,NA,1049612,1,1,CLOSED,"STREET DEPT, 510",NA
NA,2018-01-03 08:30:33.933,NA,NA,2018-01-02 19:18:21.0,Whole block lights out,14,2018-01-04 00:00:00.0,5541 MARDEL AVE,A,NA,Whole Blk Lights Out,NA,1049613,881042.203,1005436.512,CANCEL,"TRAFFIC DIVISION, 511",23
WEB,NA,2018-01-03 18:11:03.25,2018-01-03 18:11:03.25,2018-01-02 19:20:13.0,Refuse not collected,48,2018-01-08 00:00:00.0,942 BEACH AVE,A,NA,Refuse not collected,NA,1049614,880021.205,1029405.861,CLOSED,"REFUSE,",26
WEB,NA,2018-01-03 16:36:50.927,2018-01-03 16:36:50.927,2018-01-02 19:46:02.0,Light Damaged,NA,2018-01-09 00:00:00.0,3213 GREER AV,A,NA,Light Damaged,NA,1049615,900819.348,1028233.463,CLOSED,"TRAFFIC DIVISION, 511",NA
WEB,NA,2018-01-03 13:00:44.0,2018-01-23 13:25:49.827,2018-01-02 19:57:37.0,Containr damaged,42,2018-01-12 00:00:00.0,1304 TAMM AVE,A,NA,Containr damaged,NA,1049616,879339.764,1017177.075,CLOSED,"REFUSE,",24
PHONE,NA,2018-01-03 04:30:00.0,2018-01-03 06:41:29.303,2018-01-02 19:59:15.777,Whole block lights out,31,2018-01-04 00:00:00.0,1300 MONTROSE AVE,B,NA,Whole Blk Lights Out,NA,1049617,898157.393,1015200.813,CLOSED,"TRAFFIC DIVISION, 511",6
WEB,NA,2018-05-24 15:13:39.477,2018-05-24 15:13:39.477,2018-01-02 20:14:42.0,Vehicle-Rt of Way,18,2018-01-23 00:00:00.0,3548 S BROADWAY,A,NA,Vehicle-Rt of Way,NA,1049618,900744.579,1003744.063,CLOSED,"TREAS PRKG SVC,",20
PHONE,NA,2018-01-03 09:37:03.94,2018-01-03 09:37:03.94,2018-01-02 20:49:11.117,Whole block lights out,14,2018-01-04 00:00:00.0,5700 MARDEL AVE,B,NA,Whole Blk Lights Out,NA,1049619,880439.896,1005345.185,CLOSED,"TRAFFIC DIVISION, 511",23
WEB,NA,2018-01-03 09:51:00.0,NA,2018-01-02 20:51:07.0,Curb Repair,9,2018-01-23 00:00:00.0,7028 OLEATHA AVE,A,NA,Curb Repair,NA,1049620,873804.941,1007170.491,Disptch,"STREET DEPT, 510",23
WEB,NA,2018-01-05 15:45:26.0,2018-01-05 15:45:49.463,2018-01-02 20:55:02.0,FH-RUNNING,9,2018-01-16 00:00:00.0,PERNOD AVE & CLIFTON AVE,B,NA,FH-RUNNING,NA,1049621,878721.335,1006268.822,CLOSED,"WATER DIV,",23
WEB,NA,NA,NA,2018-01-02 21:01:33.0,"NOWATER (due to main break, etc.)",42,2018-01-16 00:00:00.0,6506 NASHVILLE AVE,A,NA,NOWATER,NA,1049622,878436.988,1016846.937,Disptch,"WATER DIV,",24
WEB,NA,2018-05-24 15:14:11.32,2018-05-24 15:14:11.32,2018-01-02 21:02:32.0,Vehicle-Rt of Way,16,2018-01-23 00:00:00.0,3915 CALIFORNIA AVE,A,NA,Vehicle-Rt of Way,NA,1049623,896819.232,1001821.859,CLOSED,"TREAS PRKG SVC,",20
WEB,NA,2018-01-03 18:09:35.723,2018-01-03 18:09:35.723,2018-01-02 21:05:53.0,Refuse not collected,43,2018-01-08 00:00:00.0,1517 LOUISVILLE AVE,A,NA,Refuse not collected,NA,1049624,877591.52,1016120.453,CLOSED,"REFUSE,",24
WEB,NA,NA,NA,2018-01-02 21:31:32.0,"Rat Infestation, Int",30,2018-01-12 00:00:00.0,3418 TENNESSEE AVE,A,NA,"Rat Infestation, Int",NA,1049625,894491.48,1005407.391,Disptch,"COMM SANITATION,",9
WEB,NA,2018-01-02 11:54:00.0,2018-04-02 11:57:11.453,2018-01-02 22:09:06.0,Check Welfare,NA,2018-01-22 00:00:00.0,125 KOELN AV,A,NA,Check Welfare,NA,1049626,889505.495,988765.585,CLOSED,"ANIMAL CARE,",11
WEB,NA,2018-01-03 08:41:46.0,2018-01-05 17:27:53.573,2018-01-02 22:17:54.0,Sunshine Request,NA,2018-10-08 00:00:00.0,"527, 533 & 555 Maryville University Dr.",A,St. Louis,Sunshine Request,63141,1049627,1,1,CLOSED,"Sunshine Law Coordinator,",NA
PHONE,NA,2018-01-03 04:30:00.0,2018-01-03 06:40:51.083,2018-01-02 22:28:50.467,Whole block lights out,31,2018-01-04 00:00:00.0,3100 CAROLINE MALL,B,NA,Whole Blk Lights Out,NA,1049628,897612.864,1015000.566,CLOSED,"TRAFFIC DIVISION, 511",19
PHONE,NA,2018-01-03 01:40:00.0,2018-08-13 09:20:50.497,2018-01-02 23:49:27.17,Light Damaged,53,2018-01-09 00:00:00.0,1216 AUBERT AVE,B,NA,Light Damaged,NA,1049629,888581.089,1028500.881,CLOSED,"TRAFFIC DIVISION, 511",18
WEB,NA,2018-01-04 12:52:50.0,2018-01-04 13:00:30.433,2018-01-03 00:16:28.0,Cntnr overflow/bulky,15,2018-01-08 00:00:00.0,4051 MCDONALD AVE,A,NA,Cntnr overflow/bulky,NA,1049630,890175.014,1006557.777,CLOSED,"REFUSE,",15
PHONE,NA,2018-01-12 11:03:59.587,2018-01-12 11:03:59.587,2018-01-03 03:07:02.347,Light Damaged,80,2018-01-10 00:00:00.0,LOUGHBOROUGH AVE & S GRAND AVE,B,NA,Light Damaged,NA,1049631,888173.73,992232.587,CLOSED,"TRAFFIC DIVISION, 511",11
WEB,NA,2018-01-03 11:19:56.0,2018-01-03 11:20:59.923,2018-01-03 04:16:35.0,Debris-alley/street,14,2018-01-08 00:00:00.0,5816 LINDENWOOD AVE,A,NA,Debris-alley/street,NA,1049632,879600.765,1005147.447,CLOSED,"REFUSE,",23
WEB,NA,2018-03-01 17:13:51.0,2018-03-01 17:13:51.183,2018-01-03 04:46:23.0,Mold - Food Cntrl,15,2018-01-12 00:00:00.0,3501 S SPRING AVE,A,NA,Mold - Food Cntrl,NA,1049633,892295.506,1005251.384,CLOSED,"FOOD CNTRL,",15
WEB,NA,2018-01-08 06:55:52.623,2018-01-08 06:55:52.623,2018-01-03 05:42:00.0,Recycling not collec,31,2018-01-08 00:00:00.0,3124 EADS AVE,B,NA,Recycling not collec,NA,1049634,896934.86,1013851.437,CLOSED,"REFUSE,",6
WEB,NA,2018-01-03 18:07:36.0,2018-01-03 18:07:36.233,2018-01-03 05:48:14.0,Yrd Wste Not Collect,31,2018-01-08 00:00:00.0,3124 EADS AVE,B,NA,Yrd Wste Not Collect,NA,1049635,896934.86,1013851.437,CLOSED,"REFUSE,",6
WEB,NA,2018-01-05 15:10:16.0,2018-01-05 15:10:16.323,2018-01-03 06:26:46.0,Whole block lights out,35,2018-01-05 00:00:00.0,SPRUCE ST & S 4TH ST,B,NA,Whole Blk Lights Out,NA,1049636,908740.179,1015464.798,CLOSED,"TRAFFIC DIVISION, 511",7
PHONE,NA,2018-04-19 09:57:48.267,2018-04-19 09:57:48.267,2018-01-03 06:51:30.51,SPRINKLER REPAIR,NA,2018-01-10 00:00:00.0,1222 CLARK,B,ST. LOUIS,SPRINKLER REPAIR,63103,1049637,NA,NA,CLOSED,"FACILITIES MGMT,",NA
WEB,NA,2018-01-04 08:54:11.92,2018-01-04 08:54:11.92,2018-01-03 06:59:07.0,Excavation Application,36,2018-02-14 00:00:00.0,100 N JEFFERSON AVE,A,NA,PmtApp_Excavation,NA,1049638,901788.32,1019036.001,CLOSED,"STREET PERMITS,",6
GARAGE,NA,2018-02-12 14:44:41.327,2018-02-12 14:44:41.327,2018-01-03 07:03:22.5,STEAM REPAIRS,NA,2018-01-10 00:00:00.0,1122 CLARK,B,ST. LOUIS,STEAM REPAIRS,63102,1049639,NA,NA,CLOSED,"FACILITIES MGMT,",NA
WEB,NA,2018-01-08 11:25:00.0,2018-01-08 19:13:31.547,2018-01-03 07:42:41.0,Sign needs attention,9,2018-02-14 00:00:00.0,6212 THOLOZAN AVE,A,NA,Sign needs attention,NA,1049640,878525.755,1005897.792,CLOSED,"TRAFFIC DIVISION, 511",23
WEB,NA,2018-01-05 15:44:24.0,2018-01-05 15:45:07.287,2018-01-03 07:58:56.0,FH-RUNNING,38,2018-01-16 00:00:00.0,PERSHING AVE & UNION BLVD,B,NA,FH-RUNNING,NA,1049641,884693.143,1024724.219,CLOSED,"WATER DIV,",28
WEB,NA,2018-01-03 08:10:59.14,2018-01-03 08:10:59.14,2018-01-03 08:01:18.0,Overdimensional Vehicle Application,NA,2018-02-14 00:00:00.0,4516 MCREE AV,A,NA,PmtApp_Overdimnsnl,NA,1049642,888675.128,1014468.671,CLOSED,"STREET PERMITS,",NA
ADMIN BUILDING,NA,2018-01-16 14:23:47.117,2018-01-16 14:23:47.117,2018-01-03 08:02:19.087,LOCK/KEYS,NA,2019-05-29 00:00:00.0,1320 MARKET,B,ST. LOUIS,LOCK/KEYS,63103,1049643,NA,NA,CLOSED,"FACILITIES MGMT,",NA
PHONE,NA,2018-01-10 08:37:54.677,2018-01-10 08:37:54.677,2018-01-03 08:02:54.743,Misc-Traffic Div,13,2018-01-23 00:00:00.0,S KINGSHIGHWAY BLVD & SHAW AVE,B,NA,Misc-Traffic Div,NA,1049644,886857.256,1013710.728,CLOSED,"TRAFFIC DIVISION, 511",10
